subject,experiment,experiment_condition,condition,condition_number,ratings_type,content_type,age,gender,gender_self_describe,acceptability_battle_robot_static_b1,acceptability_battle_robot_static_b2,acceptability_battle_robot_static_b3,acceptability_high_man_static_b1,acceptability_high_man_static_b2,acceptability_high_man_static_b3,acceptability_lo_man_static_b1,acceptability_lo_man_static_b2,acceptability_lo_man_static_b3,acceptability_mannequin_static_b1,acceptability_mannequin_static_b2,acceptability_mannequin_static_b3,acceptability_skeleton_static_b1,acceptability_skeleton_static_b2,acceptability_skeleton_static_b3,acceptability_toy_robot_static_b1,acceptability_toy_robot_static_b2,acceptability_toy_robot_static_b3,acceptability_zombie_static_b1,acceptability_zombie_static_b2,acceptability_zombie_static_b3,acceptability_battle_robot_m1_v1,acceptability_battle_robot_m1_v2,acceptability_battle_robot_m1_v3,acceptability_battle_robot_m1_v4,acceptability_battle_robot_m1_v5,acceptability_battle_robot_m1_v6,acceptability_battle_robot_m2_v1,acceptability_battle_robot_m2_v2,acceptability_battle_robot_m2_v3,acceptability_battle_robot_m2_v4,acceptability_battle_robot_m2_v5,acceptability_battle_robot_m2_v6,acceptability_battle_robot_m3_v1,acceptability_battle_robot_m3_v2,acceptability_battle_robot_m3_v3,acceptability_battle_robot_m3_v4,acceptability_battle_robot_m3_v5,acceptability_battle_robot_m3_v6,acceptability_battle_robot_m4_v1,acceptability_battle_robot_m4_v2,acceptability_battle_robot_m4_v3,acceptability_battle_robot_m4_v4,acceptability_battle_robot_m4_v5,acceptability_battle_robot_m4_v6,acceptability_battle_robot_m5_v1,acceptability_battle_robot_m5_v2,acceptability_battle_robot_m5_v3,acceptability_battle_robot_m5_v4,acceptability_battle_robot_m5_v5,acceptability_battle_robot_m5_v6,acceptability_high_man_m1_v1,acceptability_high_man_m1_v2,acceptability_high_man_m1_v3,acceptability_high_man_m1_v4,acceptability_high_man_m1_v5,acceptability_high_man_m1_v6,acceptability_high_man_m2_v1,acceptability_high_man_m2_v2,acceptability_high_man_m2_v3,acceptability_high_man_m2_v4,acceptability_high_man_m2_v5,acceptability_high_man_m2_v6,acceptability_high_man_m3_v1,acceptability_high_man_m3_v2,acceptability_high_man_m3_v3,acceptability_high_man_m3_v4,acceptability_high_man_m3_v5,acceptability_high_man_m3_v6,acceptability_high_man_m4_v1,acceptability_high_man_m4_v2,acceptability_high_man_m4_v3,acceptability_high_man_m4_v4,acceptability_high_man_m4_v5,acceptability_high_man_m4_v6,acceptability_high_man_m5_v1,acceptability_high_man_m5_v2,acceptability_high_man_m5_v3,acceptability_high_man_m5_v4,acceptability_high_man_m5_v5,acceptability_high_man_m5_v6,acceptability_lo_man_m1_v1,acceptability_lo_man_m1_v2,acceptability_lo_man_m1_v3,acceptability_lo_man_m1_v4,acceptability_lo_man_m1_v5,acceptability_lo_man_m1_v6,acceptability_lo_man_m2_v1,acceptability_lo_man_m2_v2,acceptability_lo_man_m2_v3,acceptability_lo_man_m2_v4,acceptability_lo_man_m2_v5,acceptability_lo_man_m2_v6,acceptability_lo_man_m3_v1,acceptability_lo_man_m3_v2,acceptability_lo_man_m3_v3,acceptability_lo_man_m3_v4,acceptability_lo_man_m3_v5,acceptability_lo_man_m3_v6,acceptability_lo_man_m4_v1,acceptability_lo_man_m4_v2,acceptability_lo_man_m4_v3,acceptability_lo_man_m4_v4,acceptability_lo_man_m4_v5,acceptability_lo_man_m4_v6,acceptability_lo_man_m5_v1,acceptability_lo_man_m5_v2,acceptability_lo_man_m5_v3,acceptability_lo_man_m5_v4,acceptability_lo_man_m5_v5,acceptability_lo_man_m5_v6,acceptability_mannequin_m1_v1,acceptability_mannequin_m1_v2,acceptability_mannequin_m1_v3,acceptability_mannequin_m1_v4,acceptability_mannequin_m1_v5,acceptability_mannequin_m1_v6,acceptability_mannequin_m2_v1,acceptability_mannequin_m2_v2,acceptability_mannequin_m2_v3,acceptability_mannequin_m2_v4,acceptability_mannequin_m2_v5,acceptability_mannequin_m2_v6,acceptability_mannequin_m3_v1,acceptability_mannequin_m3_v2,acceptability_mannequin_m3_v3,acceptability_mannequin_m3_v4,acceptability_mannequin_m3_v5,acceptability_mannequin_m3_v6,acceptability_mannequin_m4_v1,acceptability_mannequin_m4_v2,acceptability_mannequin_m4_v3,acceptability_mannequin_m4_v4,acceptability_mannequin_m4_v5,acceptability_mannequin_m4_v6,acceptability_mannequin_m5_v1,acceptability_mannequin_m5_v2,acceptability_mannequin_m5_v3,acceptability_mannequin_m5_v4,acceptability_mannequin_m5_v5,acceptability_mannequin_m5_v6,acceptability_skeleton_m1_v1,acceptability_skeleton_m1_v2,acceptability_skeleton_m1_v3,acceptability_skeleton_m1_v4,acceptability_skeleton_m1_v5,acceptability_skeleton_m1_v6,acceptability_skeleton_m2_v1,acceptability_skeleton_m2_v2,acceptability_skeleton_m2_v3,acceptability_skeleton_m2_v4,acceptability_skeleton_m2_v5,acceptability_skeleton_m2_v6,acceptability_skeleton_m3_v1,acceptability_skeleton_m3_v2,acceptability_skeleton_m3_v3,acceptability_skeleton_m3_v4,acceptability_skeleton_m3_v5,acceptability_skeleton_m3_v6,acceptability_skeleton_m4_v1,acceptability_skeleton_m4_v2,acceptability_skeleton_m4_v3,acceptability_skeleton_m4_v4,acceptability_skeleton_m4_v5,acceptability_skeleton_m4_v6,acceptability_skeleton_m5_v1,acceptability_skeleton_m5_v2,acceptability_skeleton_m5_v3,acceptability_skeleton_m5_v4,acceptability_skeleton_m5_v5,acceptability_skeleton_m5_v6,acceptability_toy_robot_m1_v1,acceptability_toy_robot_m1_v2,acceptability_toy_robot_m1_v3,acceptability_toy_robot_m1_v4,acceptability_toy_robot_m1_v5,acceptability_toy_robot_m1_v6,acceptability_toy_robot_m2_v1,acceptability_toy_robot_m2_v2,acceptability_toy_robot_m2_v3,acceptability_toy_robot_m2_v4,acceptability_toy_robot_m2_v5,acceptability_toy_robot_m2_v6,acceptability_toy_robot_m3_v1,acceptability_toy_robot_m3_v2,acceptability_toy_robot_m3_v3,acceptability_toy_robot_m3_v4,acceptability_toy_robot_m3_v5,acceptability_toy_robot_m3_v6,acceptability_toy_robot_m4_v1,acceptability_toy_robot_m4_v2,acceptability_toy_robot_m4_v3,acceptability_toy_robot_m4_v4,acceptability_toy_robot_m4_v5,acceptability_toy_robot_m4_v6,acceptability_toy_robot_m5_v1,acceptability_toy_robot_m5_v2,acceptability_toy_robot_m5_v3,acceptability_toy_robot_m5_v4,acceptability_toy_robot_m5_v5,acceptability_toy_robot_m5_v6,acceptability_zombie_m1_v1,acceptability_zombie_m1_v2,acceptability_zombie_m1_v3,acceptability_zombie_m1_v4,acceptability_zombie_m1_v5,acceptability_zombie_m1_v6,acceptability_zombie_m2_v1,acceptability_zombie_m2_v2,acceptability_zombie_m2_v3,acceptability_zombie_m2_v4,acceptability_zombie_m2_v5,acceptability_zombie_m2_v6,acceptability_zombie_m3_v1,acceptability_zombie_m3_v2,acceptability_zombie_m3_v3,acceptability_zombie_m3_v4,acceptability_zombie_m3_v5,acceptability_zombie_m3_v6,acceptability_zombie_m4_v1,acceptability_zombie_m4_v2,acceptability_zombie_m4_v3,acceptability_zombie_m4_v4,acceptability_zombie_m4_v5,acceptability_zombie_m4_v6,acceptability_zombie_m5_v1,acceptability_zombie_m5_v2,acceptability_zombie_m5_v3,acceptability_zombie_m5_v4,acceptability_zombie_m5_v5,acceptability_zombie_m5_v6,uncanny_valley_check_1,uncanny_valley_check_2
77f23857-d09a-4b4a-9501-91dc43a42e04,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,23,male,NA,6,5,6,6,6,6,6,5,5,5,5,5,5,6,5,6,6,6,5,5,6,6,6,7,7,7,6,5,4,6,4,7,6,7,6,2,5,6,6,7,2,7,3,8,6,3,5,4,3,7,6,6,6,5,5,6,5,4,5,7,6,6,6,7,4,4,2,7,5,5,2,4,4,6,6,4,5,5,2,2,5,8,6,7,6,5,7,7,6,6,7,7,4,6,5,7,4,7,5,5,6,6,4,6,5,3,4,3,5,5,4,9,7,8,8,9,8,5,8,7,6,6,5,8,8,6,5,7,7,6,5,9,3,6,8,4,6,5,2,6,2,6,5,6,5,6,6,5,5,6,5,6,7,6,4,5,5,5,5,6,6,5,2,4,6,4,4,5,5,5,6,6,3,9,4,6,7,5,4,6,4,7,7,5,5,7,3,5,5,3,5,5,5,7,6,7,5,6,2,5,5,5,5,5,4,5,5,5,5,4,4,5,4,5,4,5,3,5,4,4,2,4,2,5,5,4,4,4,4,4,4,Yes,The feeling of a near human entity creating a sense of unease
79d3f348-8258-40e7-8d08-caa7b8c88f66,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,33,female,NA,5,5,6,9,9,8,7,7,7,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,8,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,No
85c31baf-7852-4e8c-85da-9161da2fe231,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,47,female,NA,2,2,2,9,9,9,9,9,9,2,2,2,7,7,7,2,2,2,8,8,8,4,2,4,2,3,2,2,2,5,2,3,2,3,2,4,2,3,2,3,2,4,2,4,2,2,2,3,2,3,2,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,3,2,2,2,7,2,6,1,3,2,3,2,5,2,4,2,2,2,4,2,4,2,4,2,5,2,7,2,3,2,7,8,5,7,7,7,5,7,4,7,4,7,7,8,7,6,4,7,7,7,5,7,5,7,7,2,4,7,7,7,3,2,4,2,5,2,4,2,3,2,2,2,3,2,2,2,5,2,4,2,3,2,7,2,4,2,4,2,4,2,8,8,6,8,4,8,4,8,7,8,4,8,8,8,8,8,8,8,8,8,7,8,8,8,6,8,7,8,5,8,No,i dont know waht the uncanny valley is
86b6d598-ad78-4ea2-a693-afd81b56d572,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,43,female,NA,5,6,5,7,6,7,2,2,2,6,5,6,6,6,7,8,8,8,1,1,1,5,6,6,6,5,6,6,6,4,6,6,5,6,6,5,6,6,6,5,5,6,6,6,5,5,6,6,6,5,5,6,7,6,7,6,7,6,7,6,6,6,6,7,6,6,6,6,7,6,7,7,6,5,7,6,7,6,7,5,7,3,2,3,2,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,2,3,3,4,3,4,3,3,2,4,3,5,6,5,6,6,6,5,5,5,6,5,5,6,6,5,6,6,6,6,6,6,5,6,6,6,7,5,6,6,5,4,6,4,7,3,7,4,6,4,7,4,7,3,7,4,7,4,7,4,7,4,7,3,7,4,5,3,7,4,6,8,8,8,9,8,9,8,9,8,8,8,9,8,8,8,9,8,9,7,8,8,8,8,9,8,9,7,9,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,Where a computer generated person is realistic enough that it's noticeable that they're not real/something seems off.
8bebac19-c17c-423b-b4bc-b79cbdb4cdf9,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,28,female,NA,5,5,5,7,7,7,4,4,4,6,6,6,2,2,2,8,8,8,1,1,1,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,5,4,5,5,5,5,6,4,5,5,5,5,5,4,5,5,5,4,6,4,5,5,6,4,5,4,5,5,6,7,5,7,6,7,6,7,6,7,5,6,6,7,6,7,6,7,6,6,6,7,6,7,6,7,6,7,6,7,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,7,8,8,8,7,8,8,8,8,8,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,"No, I have never heard of the 'uncanny valley' before."
90577002-9288-4797-b317-195d79214ac5,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,20,Prefer not to disclose,NA,2,2,2,9,9,9,8,8,8,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,n/a
b030c497-5530-4aa7-88c8-09b2745ea0c4,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,55,female,NA,6,6,7,9,9,9,9,9,9,9,9,9,6,7,7,9,8,8,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Yes,"It is how we (real humans) relate to the uncanniness of humanoid beings. Even though humanoid beings are not human, humans may relate emotionally to them as they resemble humans, therefore humans may want to protect them or harm them."
b8cf844f-81bd-47af-ad47-035feda0c5cd,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,24,female,NA,7,8,8,8,8,8,8,8,7,9,9,9,9,9,9,8,8,8,5,6,6,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,8,8,9,9,8,8,8,8,8,9,8,9,9,9,8,8,8,9,8,9,8,8,9,9,8,9,8,8,8,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,8,7,8,8,8,7,8,7,8,7,8,8,8,8,8,7,8,8,8,8,8,6,4,5,5,5,5,6,5,5,5,6,4,6,5,4,5,6,5,5,6,4,5,6,5,4,4,6,4,6,5,No,no
c15c8e01-3794-4a1b-b6b9-5d11f31e5283,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,32,female,NA,4,4,4,7,7,7,7,7,7,7,7,7,3,3,3,5,5,5,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,7,5,7,5,5,5,5,5,7,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,no
c3e9fd02-89af-4483-a82a-50e011bc6bbf,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,36,male,NA,4,6,7,7,7,6,6,7,6,7,6,6,6,6,6,8,8,8,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,7,6,7,6,7,6,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,6,6,6,7,6,7,6,7,6,6,6,7,6,7,6,6,6,7,6,7,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,No
c7f544e4-cd95-4d8a-b1a4-e75f95c2602f,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,31,Non-binary,NA,5,5,5,2,2,2,1,1,1,3,3,3,7,6,7,9,9,9,8,7,7,5,4,5,5,5,5,5,5,3,4,3,5,5,4,3,5,3,4,4,2,3,5,5,5,5,3,4,4,5,4,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,3,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,3,3,4,3,4,2,3,3,4,3,3,4,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,1,1,7,6,7,6,7,6,8,4,7,6,6,6,7,6,6,4,8,5,6,4,3,4,8,6,3,3,5,3,2,4,8,8,8,8,8,8,6,8,8,5,8,7,8,5,7,7,8,6,9,5,8,6,8,7,9,6,7,5,8,7,8,6,7,7,7,6,3,4,7,5,6,6,5,4,4,5,4,5,6,3,6,4,7,5,5,3,6,4,3,3,Yes,"It's when the image of a character comes close to looking human, but isn't quite there. Human brains are trained to be able to tell when something isn't quite right, so if a character looks eerily human but not human enough - then it creates a feeling of uneasiness."
cebdf981-cde8-44c6-a29e-892919d5b997,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,54,male,NA,5,5,5,7,7,7,7,7,7,6,7,6,5,5,5,5,5,5,4,4,4,5,5,6,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,No,no
d360890d-75c6-4333-bcb7-95ab208ea037,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,26,male,NA,4,4,4,8,8,8,8,8,8,5,5,5,6,6,6,4,5,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,The relationship between something that looks almost human and how we react to how unnaturally we perceive it.
d4c94614-be00-4318-94fe-114806bf3753,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,27,male,NA,6,6,6,4,4,4,4,4,4,7,7,7,9,9,9,7,7,7,3,3,3,7,6,7,6,7,7,7,6,6,7,6,6,6,6,7,6,5,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,3,5,4,6,6,6,6,6,5,5,6,5,3,5,3,5,4,6,3,5,5,5,4,5,6,6,5,6,6,6,6,5,6,6,5,6,6,5,4,5,5,5,5,5,5,5,6,6,4,5,4,5,6,5,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,7,8,7,7,8,8,8,8,8,7,8,7,8,8,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,8,8,8,8,8,8,9,9,9,8,9,8,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,8,7,6,6,6,7,7,7,8,7,6,6,7,7,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,No,No
da48ccdb-d039-4293-933a-9f7036afa1d6,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,23,male,NA,1,2,2,7,4,9,3,3,1,1,2,1,5,5,2,1,4,2,4,5,3,6,8,1,9,1,5,3,8,9,9,9,5,2,8,6,9,3,9,9,9,7,6,5,8,7,5,9,5,2,9,9,9,8,9,9,9,9,9,9,8,9,9,9,9,7,9,9,9,9,8,9,9,9,9,8,9,9,9,1,9,1,8,3,7,4,8,6,6,7,7,4,8,5,7,4,7,4,1,6,7,4,7,6,8,5,8,6,5,2,7,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,4,1,3,1,3,1,1,1,2,3,7,8,3,4,1,6,2,4,3,6,4,4,6,6,3,8,1,6,2,6,1,1,4,6,1,6,1,1,1,8,6,8,6,4,7,9,9,8,2,8,5,4,2,4,9,9,4,8,1,4,7,4,5,8,9,7,2,9,9,7,1,9,2,1,2,4,7,7,3,1,1,7,2,1,3,7,1,4,3,4,3,2,1,1,2,1,2,1,No,no
dab37413-9d04-4ee2-980a-1b2d7f169c8f,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,35,male,NA,9,9,9,9,9,9,6,6,6,7,7,7,2,2,2,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,7,6,6,6,6,6,6,6,7,6,7,7,7,7,6,7,6,7,8,7,8,7,7,7,6,7,7,7,6,7,7,7,7,7,6,7,6,7,8,7,2,2,3,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,no
dea46e21-dd0e-4689-a444-8575be26dcf5,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,21,female,NA,7,7,7,6,7,8,6,6,6,7,7,7,3,4,5,7,6,6,1,1,1,2,7,3,4,3,3,3,6,3,3,3,7,3,6,2,7,2,4,3,7,3,7,3,6,2,7,3,7,2,6,6,6,8,8,6,8,7,8,6,8,8,6,8,8,8,8,8,6,6,7,8,8,8,8,8,7,8,8,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,7,6,6,5,6,6,6,3,7,5,7,4,6,4,7,5,6,5,6,5,6,3,7,5,6,5,7,5,7,4,5,6,5,4,6,4,6,2,1,3,4,4,4,4,4,2,5,4,3,4,5,4,5,3,4,4,5,3,4,4,6,3,7,3,5,3,7,3,6,4,7,3,6,3,5,4,3,3,6,3,4,3,3,4,3,3,5,3,6,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,6,No,No
def05919-8e23-423b-8b1c-615a0ab421fe,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,32,male,NA,5,5,5,9,9,9,9,9,9,6,7,6,5,5,5,6,6,6,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,5,5,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,5,6,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,6,5,6,5,6,5,5,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,No,have not encountered
